id,serial,block,status,reuse_count,rtls_landings,asds_landings,water_landings,launches_count,missions
5e9e289df35918033d3b2623,Merlin1A,,lost,0,0,0,,1,
5e9e289ef35918416a3b2624,Merlin2A,,lost,0,0,0,,1,
5e9e289ef3591814873b2625,Merlin1C,,lost,0,0,0,,1,
5e9e289ef3591855dc3b2626,Merlin2C,,lost,0,0,0,,1,
5e9e289ef359184f103b2627,Merlin3C,,lost,0,0,0,,1,
5e9e289ef359185f2b3b2628,B0003,1,expended,0,0,0,,1,
5e9e289ef35918187c3b2629,B0004,1,lost,0,0,0,,1,
5e9e289ef35918f39c3b262a,B0005,1,lost,0,0,0,,1,
5e9e289ff3591821a73b262b,B0006,1,lost,0,0,0,,1,
5e9e289ff3591884e03b262c,B0007,1,lost,0,0,0,,1,
5e9e289ff359180ae23b262d,B1003,1,lost,0,0,0,,1,
5e9e289ff35918862c3b262e,B1004,1,lost,0,0,0,,1,
5e9e289ff3591878603b262f,B1005,1,lost,0,0,0,,1,
5e9e289ff3591829343b2630,B1006,1,lost,0,0,0,,1,
5e9e28a0f3591870a63b2631,B1007,1,lost,0,0,0,,1,
5e9e28a0f359186e2e3b2632,B1008,1,lost,0,0,0,,1,
5e9e28a0f35918b1bc3b2633,B1011,1,lost,0,0,0,,1,
5e9e28a0f359184a683b2634,B1010,1,lost,0,0,0,,1,
5e9e28a0f359187a3c3b2635,B1012,1,lost,0,0,0,,1,
5e9e28a0f3591885be3b2636,B1013,1,lost,0,0,0,,1,
5e9e28a0f35918c0893b2637,B1014,1,lost,0,0,0,,1,
5e9e28a1f359186d533b2638,B1015,1,lost,0,0,0,,1,
5e9e28a1f35918233f3b2639,B1016,1,lost,0,0,0,,1,
5e9e28a1f35918683c3b263a,B1018,1,lost,0,0,0,,1,
5e9e28a1f3591867753b263b,B1019,1,inactive,0,1,0,,1,
5e9e28a1f3591842fa3b263c,B1017,1,lost,0,0,0,,1,
5e9e28a1f359188def3b263d,B1020,1,lost,0,0,0,,1,
5e9e28a2f359182d0b3b263e,B1021,2,inactive,1,0,2,,2,
5e9e28a2f35918077b3b263f,B1022,2,inactive,0,0,1,,1,
5e9e28a2f3591845c73b2640,B1023,2,inactive,1,1,1,,2,
5e9e28a2f359184f403b2641,B1024,2,lost,0,0,0,,1,
5e9e28a2f359187f273b2642,B1025,2,inactive,1,2,0,,2,
5e9e28a2f35918b8243b2643,B1026,2,inactive,0,0,1,,1,
5e9e28a2f359187ee83b2644,B1028,3,lost,0,0,0,,1,
5e9e28a3f359189e3a3b2645,B1029,3,inactive,1,0,2,,2,
5e9e28a3f3591829dc3b2646,B1031,3,inactive,1,1,1,,2,
5e9e28a3f3591878473b2647,B1030,3,expended,0,0,0,,1,
5e9e28a3f3591811f83b2648,B1032,3,lost,1,1,0,,2,
5e9e28a3f359186f3f3b2649,B1034,3,expended,0,0,0,,1,
5e9e28a3f3591856803b264a,B1035,3,inactive,1,2,0,,2,
5e9e28a3f3591801cf3b264b,B1036,3,lost,1,0,1,,2,
5e9e28a4f3591850cc3b264c,B1037,3,expended,0,0,0,,1,
5e9e28a4f3591884ee3b264d,B1039,4,expended,1,1,0,,2,
5e9e28a4f359182d843b264e,B1038,3,expended,1,0,1,,2,
5e9e28a4f3591845123b264f,B1040,4,expended,1,1,0,,2,
5e9e28a4f3591843103b2650,B1041,4,expended,1,0,1,,2,
5e9e28a4f359185cc03b2651,B1042,4,inactive,0,0,1,,1,
5e9e28a4f35918345e3b2652,B1043,4,expended,1,1,0,,2,
5e9e28a5f359187f703b2653,B1033,3,lost,0,0,0,,1,
5e9e28a5f359186cb73b2654,B1044,4,expended,0,0,0,,1,
5e9e28a5f35918863d3b2655,B1045,4,expended,1,0,1,,2,
5e9e28a5f359182b023b2656,B1046,5,expended,3,0,3,,4,
5e9e28a5f359181eed3b2657,B1047,5,expended,2,0,2,,3,
5e9e28a5f3591809c03b2658,B1048,5,lost,4,1,3,,5,
5e9e28a5f3591833b13b2659,B1049,5,expended,9,0,10,,10,
5e9e28a6f359185c603b265a,B1050,5,inactive,0,0,0,,1,
5e9e28a6f35918513b3b265b,B1054,5,expended,0,0,0,,1,
5e9e28a6f35918c0803b265c,B1051,5,expended,12,1,12,,13,
5e9e28a6f359183c413b265d,B1052,5,active,6,3,4,,7,
5e9e28a6f359188fd53b265e,B1053,5,active,1,2,0,,2,
5e9e28a6f3591897453b265f,B1055,5,lost,0,0,1,,1,
5e9e28a7f3591809313b2660,B1056,5,lost,3,1,2,,4,
5e9e28a7f3591878063b2661,B1057,5,lost,0,0,0,,1,
5e9e28a7f359187afd3b2662,B1059,5,lost,5,3,2,,6,
5e9e28a7f3591817f23b2663,B1058,5,active,13,1,13,,14,
5ef670f10059c33cee4a826c,B1060,5,active,12,1,12,,13,
5f57c53d0622a6330279009f,B1061,5,active,9,1,9,,10,
5f57c5440622a633027900a0,B1062,5,active,8,0,9,,9,
5f57c54a0622a633027900a1,B1063,5,active,6,1,6,,7,
5fe3b8f2b3467846b3242181,B1064,5,active,0,0,0,,0,
5fe3b8fbb3467846b3242182,B1065,5,active,0,0,0,,0,
5fe3b906b3467846b3242183,B1066,5,expended,0,0,0,,0,
60b800111f83cc1e59f16438,B1067,5,active,5,0,6,,6,
61c1ef45a4a2462678cbf45d,B1069,5,active,1,0,2,,2,
61c1ef4fa4a2462678cbf45e,B1068,5,active,0,0,0,,0,
61fae58d7aa67176fe3e0e1d,B1070,5,active,0,0,0,,0,
61fae5947aa67176fe3e0e1e,B1071,5,active,3,3,1,,4,
627843d657b51b752c5c5a53,B1072,5,active,0,0,1,,1,
627843db57b51b752c5c5a54,B1073,5,active,2,0,3,,3,
627843de57b51b752c5c5a55,B1074,5,active,0,0,0,,0,
627843e257b51b752c5c5a56,B1075,5,active,0,0,0,,0,
633d9da235a71d1d9c66797a,B1076,5,active,0,0,0,,0,
633d9da635a71d1d9c66797b,B1077,5,active,0,0,1,,1,
